dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
BREAST,IForest,20,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,MEAN,0.100000,,,,empirical,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BREAST,IForest,MEAN,0.100000,,,,empirical_weighted_bh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BREAST,IForest,MEAN,0.100000,,,,empirical_wcs_dtm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BREAST,IForest,MEAN,0.100000,,,,empirical_wcs_homo,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BREAST,IForest,MEAN,0.100000,,,,empirical_wcs_hete,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BREAST,IForest,MEAN,0.100000,,,,kde,0.100000,0.300000,0.000000,0.000000,0.200000,0.600000,0.010526,0.031579
BREAST,IForest,MEAN,0.100000,,,,kde_weighted_bh,0.100000,0.300000,0.000000,0.000000,0.150000,0.476970,0.007895,0.025104
BREAST,IForest,MEAN,0.100000,,,,kde_wcs_dtm,0.100000,0.300000,0.000000,0.000000,0.150000,0.476970,0.007895,0.025104
BREAST,IForest,MEAN,0.100000,,,,kde_wcs_homo,0.100000,0.300000,0.000000,0.000000,0.150000,0.476970,0.007895,0.025104
BREAST,IForest,MEAN,0.100000,,,,kde_wcs_hete,0.100000,0.300000,0.000000,0.000000,0.150000,0.476970,0.007895,0.025104
