export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,weight_clipping_frontier,A,resolution,2,3,resolution,calib_ess_fraction,0.5,3.0,c=3,0.4771212547196624,0.7915044850157792,0.7915044850157792,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,4,resolution,calib_ess_fraction,0.5,5.0,c=5,0.6989700043360189,0.7807783468061864,0.7807783468061864,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,5,resolution,calib_ess_fraction,0.5,8.0,c=8,0.9030899869919436,0.7797437649459573,0.7797437649459573,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,6,resolution,calib_ess_fraction,0.5,13.0,c=13,1.1139433523068367,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,7,resolution,calib_ess_fraction,0.5,21.0,c=21,1.3222192947339193,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,8,resolution,calib_ess_fraction,0.5,34.0,c=34,1.5314789170422551,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,9,resolution,calib_ess_fraction,0.5,55.0,c=55,1.740362689494244,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,10,resolution,calib_ess_fraction,0.5,89.0,c=89,1.9493900066449128,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,11,resolution,calib_ess_fraction,0.5,inf,unclipped,2.299390006644913,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,12,resolution,calib_ess_fraction,1.5,1.0,c=1,0.0,0.6011293909211544,0.6011293909211544,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,13,resolution,calib_ess_fraction,1.5,1.5,c=1.5,0.1760912590556812,0.5229687449668706,0.5229687449668706,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,14,resolution,calib_ess_fraction,1.5,2.0,c=2,0.3010299956639812,0.4694347437646857,0.4694347437646857,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,15,resolution,calib_ess_fraction,1.5,3.0,c=3,0.4771212547196624,0.3990488228379016,0.3990488228379016,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,16,resolution,calib_ess_fraction,1.5,5.0,c=5,0.6989700043360189,0.3214362149933482,0.3214362149933482,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,17,resolution,calib_ess_fraction,1.5,8.0,c=8,0.9030899869919436,0.2640633729592956,0.2640633729592956,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,18,resolution,calib_ess_fraction,1.5,13.0,c=13,1.1139433523068367,0.2184878590119486,0.2184878590119486,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,19,resolution,calib_ess_fraction,1.5,21.0,c=21,1.3222192947339193,0.1857613707089792,0.1857613707089792,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,20,resolution,calib_ess_fraction,1.5,34.0,c=34,1.5314789170422551,0.1650076426956108,0.1650076426956108,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,21,resolution,calib_ess_fraction,1.5,55.0,c=55,1.740362689494244,0.1549157780036422,0.1549157780036422,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,22,resolution,calib_ess_fraction,1.5,89.0,c=89,1.9493900066449128,0.1516069062754794,0.1516069062754794,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,23,resolution,calib_ess_fraction,1.5,inf,unclipped,2.299390006644913,0.1510776108099955,0.1510776108099955,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,24,resolution,calib_ess_fraction,3.0,1.0,c=1,0.0,0.190588776802774,0.190588776802774,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,25,resolution,calib_ess_fraction,3.0,1.5,c=1.5,0.1760912590556812,0.1603897281672818,0.1603897281672818,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,26,resolution,calib_ess_fraction,3.0,2.0,c=2,0.3010299956639812,0.1411797260248516,0.1411797260248516,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,27,resolution,calib_ess_fraction,3.0,3.0,c=3,0.4771212547196624,0.1170298607733311,0.1170298607733311,500,ess,mean calibration ESS / n
