summary_version,scenario,diagnostic,kappa,bin,x_left,x_right,x,successes,count,probability
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,33,2.3529411764705888,2.5,2.421489553694076,6.0,14644.0,0.00040972411909314397
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,33,2.3529411764705888,2.5,2.421489553694076,4.0,14644.0,0.0002731494127287626
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,33,2.3529411764705888,2.5,2.421489553694076,4.0,14644.0,0.0002731494127287626
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,33,2.3529411764705888,2.5,2.421489553694076,8.0,14644.0,0.0005462988254575252
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,33,2.3529411764705888,2.5,2.421489553694076,7.0,14644.0,0.0004780114722753346
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,33,2.3529411764705888,2.5,2.421489553694076,7.0,14644.0,0.0004780114722753346
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,24,1.0294117647058822,1.1764705882352944,1.100466660928115,1374.0,55415.0,0.024794730668591537
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,24,1.0294117647058822,1.1764705882352944,1.100466660928115,456.0,55415.0,0.008228818911846974
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,24,1.0294117647058822,1.1764705882352944,1.100466660928115,591.0,55415.0,0.01066498240548588
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,24,1.0294117647058822,1.1764705882352944,1.100466660928115,660.0,55415.0,0.011910132635567987
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,24,1.0294117647058822,1.1764705882352944,1.100466660928115,704.0,55415.0,0.012704141477939187
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,24,1.0294117647058822,1.1764705882352944,1.100466660928115,748.0,55415.0,0.013498150320310385
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,13635.0,68862.0,0.1980047050622985
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,2584.0,68862.0,0.03752432401033952
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,5072.0,68862.0,0.07365455548778717
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,7199.0,68862.0,0.10454241816967268
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,8788.0,68862.0,0.12761755394847665
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,24,1.0294117647058822,1.1764705882352944,1.1024463862322182,9739.0,68862.0,0.14142778310243675
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,4495.0,72523.0,0.06198033727231361
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,1182.0,72523.0,0.016298277787736303
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,1628.0,72523.0,0.022448050963142726
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,1973.0,72523.0,0.02720516250017236
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,2261.0,72523.0,0.03117631647891014
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,22,0.7352941176470589,0.8823529411764706,0.8071446474886379,2403.0,72523.0,0.03313431601009335
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,25,1.1764705882352944,1.323529411764706,1.2469106493423012,685.0,44584.0,0.015364256235420778
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,25,1.1764705882352944,1.323529411764706,1.2469106493423012,275.0,44584.0,0.006168132065314911
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,25,1.1764705882352944,1.323529411764706,1.2469106493423012,313.0,44584.0,0.007020455768885699
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,25,1.1764705882352944,1.323529411764706,1.2469106493423012,328.0,44584.0,0.007356899336084694
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,25,1.1764705882352944,1.323529411764706,1.2469106493423012,350.0,44584.0,0.007850349901309887
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,25,1.1764705882352944,1.323529411764706,1.2469106493423012,361.0,44584.0,0.008097075183922484
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,23,0.8823529411764706,1.0294117647058822,0.955454541221075,16963.0,71855.0,0.23607264630157956
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,23,0.8823529411764706,1.0294117647058822,0.955454541221075,3649.0,71855.0,0.050782826525641915
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,23,0.8823529411764706,1.0294117647058822,0.955454541221075,6765.0,71855.0,0.09414793681720131
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,23,0.8823529411764706,1.0294117647058822,0.955454541221075,9466.0,71855.0,0.13173752696402477
