export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,x_left,x_right,value,probability,count,style_key,label
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,0.07405239317389631,0.24678613791555798,0.0,0.1470588235294117,0.24678613791555798,0.24678613791555798,62386.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,0.07405239317389631,0.3789632289295675,0.0,0.1470588235294117,0.3789632289295675,0.3789632289295675,62386.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,0.07405239317389631,0.47106722662135736,0.0,0.1470588235294117,0.47106722662135736,0.47106722662135736,62386.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,0.07405239317389631,0.5256147212515628,0.0,0.1470588235294117,0.5256147212515628,0.5256147212515628,62386.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,0.07405239317389631,0.5541467636969833,0.0,0.1470588235294117,0.5541467636969833,0.5541467636969833,62386.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,0.2213737738185241,0.5643620011242271,0.1470588235294117,0.2941176470588238,0.5643620011242271,0.5643620011242271,65823.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,0.2213737738185241,0.21316257235312885,0.1470588235294117,0.2941176470588238,0.21316257235312885,0.21316257235312885,65823.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,0.2213737738185241,0.3325889126900931,0.1470588235294117,0.2941176470588238,0.3325889126900931,0.3325889126900931,65823.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,0.2213737738185241,0.417771903438008,0.1470588235294117,0.2941176470588238,0.417771903438008,0.417771903438008,65823.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,0.2213737738185241,0.4707169226562144,0.1470588235294117,0.2941176470588238,0.4707169226562144,0.4707169226562144,65823.0,kappa_3.5,$\log_{10}\delta$
