summary_version,phase_x_bin,phase_y_bin,x_left,x_right,y_bottom,y_top,x,y,alpha,pi1,m,mean_n_cal,mean_rho,count,n_anomaly,calib_ess,max_normalized_calib_weight,p_min_anom,delta_min,rank_delta,certified_no_first_discovery,certified_no_rank_discovery,log10_m_over_alpha,log10_inverse_p_min,log10_delta_min,log10_rank_delta,auroc,perfect_separation_from_calibration,anomalies_exceed_all_inliers,exact_any_discovery,exact_power,exact_fdr,randomized_any_discovery,randomized_power,randomized_fdr,oracle_any_discovery,oracle_power,oracle_fdr
perfect-score-v2,5,3,3.291666666666667,3.5,2.875,3.0833333333333335,3.3958333333333335,2.979166666666667,0.1,0.05,249,439.83,1.42,100,12.0,149.58308857193194,0.11772393701617241,0.0010564762122323807,2.630625768458628,1.684789594549091,1.0,0.74,3.396199347095737,2.9800264958855154,0.41617285121022035,0.1747758089055136,0.9999156118143461,True,False,0.3,0.2508333333333333,0.03554279054279054,0.89,0.5599999999999999,0.09140956265956268,1.0,1.0,0.08393934496875671
perfect-score-v2,5,4,3.291666666666667,3.5,3.0833333333333335,3.291666666666667,3.3958333333333335,3.1875,0.1,0.05,249,655.9,1.6,100,12.0,174.6797653295853,0.12892036228406042,0.0006439621714650892,1.603465806948072,1.1277689263820936,1.0,0.56,3.396199347095737,3.1949878470830275,0.20121150001270913,0.006118511158347578,0.999957805907173,True,False,0.46,0.30083333333333334,0.03550680528621705,0.95,0.5533333333333332,0.10980632379316589,1.0,1.0,0.09556550312432664
perfect-score-v2,5,5,3.291666666666667,3.5,3.291666666666667,3.5,3.3958333333333335,3.3958333333333335,0.1,0.05,249,1156.75,1.49,100,12.0,375.05969748403606,0.08235581253216237,0.0003982532877956005,0.9916506866110453,0.6456648686313814,0.46,0.16,3.396199347095737,3.4044188738749726,-0.00821952677923601,-0.24419211179893666,1.0,True,True,0.85,0.5041666666666668,0.07905702831899823,0.99,0.6683333333333333,0.11747764653647008,1.0,1.0,0.10143568196509371
perfect-score-v2,5,6,3.291666666666667,3.5,3.5,3.7083333333333335,3.3958333333333335,3.604166666666667,0.1,0.05,249,1719.61,1.53,100,12.0,547.119820802235,0.09335094866502719,0.0002585956775680466,0.6439032371444362,0.4414011110645478,0.0,0.0,3.396199347095737,3.5916774789220365,-0.19547813182629983,-0.4108239915654437,0.999957805907173,True,False,1.0,0.5666666666666667,0.06420741758241758,1.0,0.7175,0.10108941711882886,1.0,1.0,0.09018293471234645
perfect-score-v2,5,7,3.291666666666667,3.5,3.7083333333333335,3.916666666666667,3.3958333333333335,3.8125,0.1,0.05,249,3158.55,1.48,100,12.0,949.7777594889626,0.0591512183704821,0.00015528900632376567,0.38666962574617647,0.25398744053074457,0.0,0.0,3.396199347095737,3.813493071993266,-0.4172937248975288,-0.6505286421988576,1.0,True,True,1.0,0.7033333333333333,0.07332882313764667,1.0,0.8041666666666667,0.09430405623787974,1.0,1.0,0.0896410256410256
perfect-score-v2,5,8,3.291666666666667,3.5,3.916666666666667,4.125,3.3958333333333335,4.020833333333334,0.1,0.05,249,4657.42,1.495,100,12.0,1337.284795964807,0.05973003328728941,9.475641327721033e-05,0.2359434690602537,0.14520971842097308,0.0,0.0,3.396199347095737,4.027314380398262,-0.6311150333025262,-0.8815894146027428,1.0,True,True,1.0,0.7383333333333333,0.10061092339033512,1.0,0.8366666666666667,0.11357230024877082,1.0,1.0,0.10381868131868127
perfect-score-v2,5,9,3.291666666666667,3.5,4.125,4.333333333333334,3.3958333333333335,4.229166666666667,0.1,0.05,249,7974.22,1.49,100,12.0,2530.4842209612916,0.045464077494547596,5.989904281597687e-05,0.1491486166117824,0.09339844033370463,0.0,0.0,3.396199347095737,4.226676533351793,-0.8304771862560577,-1.0888901286035604,1.0,True,True,1.0,0.7991666666666666,0.08830680576733207,1.0,0.8658333333333332,0.11647723939287406,1.0,1.0,0.0908122001837172
perfect-score-v2,5,10,3.291666666666667,3.5,4.333333333333334,4.541666666666667,3.3958333333333335,4.4375,0.1,0.05,249,11843.42,1.53,100,12.0,3725.3737342499894,0.04072044061228691,3.652918840772453e-05,0.09095767913523409,0.05968505183221274,0.0,0.0,3.396199347095737,4.441338946042975,-1.0451395989472376,-1.2723474148061227,1.0,True,True,1.0,0.8183333333333332,0.0625687426608479,1.0,0.8916666666666667,0.07986009673161375,1.0,1.0,0.07924281858492384
perfect-score-v2,5,11,3.291666666666667,3.5,4.541666666666667,4.75,3.3958333333333335,4.645833333333334,0.1,0.05,249,20439.05,1.51,100,12.0,5855.630375486363,0.03861317841616018,2.3601978208119158e-05,0.05876892573821671,0.03723456820506708,0.0,0.0,3.396199347095737,4.6306417702089835,-1.2344424231132471,-1.4847078179262752,1.0,True,True,1.0,0.8775,0.08788115316056491,1.0,0.9199999999999998,0.10018243521184697,1.0,1.0,0.09711150614091787
perfect-score-v2,6,0,3.5,3.7083333333333335,2.25,2.4583333333333335,3.604166666666667,2.354166666666667,0.1,0.05,402,94.27,1.615,100,20.0,30.83857570923484,0.2341280015194318,0.004506276456198668,18.11523135391865,10.73083942492222,1.0,1.0,3.604226053084469,2.3503137278103305,1.2539123252741395,0.9502346831999807,0.9982722513089004,True,False,0.0,0.0,0.02,0.3,0.05600000000000001,0.15945723989841634,1.0,1.0,0.09684091271047791
