export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,calibration_repeats,test_repeats_per_calibration,value,fdr_ratio,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.6,-1.451544993495972,-1.1505149978319906,3.5,3.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.013333333333331998,0.013333333333331998,6.4e-05,0.0012,0.0006666666666666,-0.9980412643634284,0.0,0.75967904,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.8,-1.451544993495972,-1.1505149978319906,3.7,3.9,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.005999999999999999,0.005999999999999999,8e-05,0.0012,0.0003,-1.1980381888468132,0.0,0.7604504757894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,4.0,-1.451544993495972,-1.1505149978319906,3.9,4.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.474933333333332,0.474933333333332,0.001704,0.0572,0.0237466666666666,-1.3979834359489005,0.0,0.7615701136842106,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.4,-1.1505149978319906,-0.8494850021680094,1.3,1.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.8860566476931633,1.0,0.7590098357894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.6,-1.1505149978319906,-0.8494850021680094,1.5,1.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.6882461389442457,1.0,0.7607028294736842,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.7999999999999998,-1.1505149978319906,-0.8494850021680094,1.7,1.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.494850021680094,1.0,0.7608850273684211,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.0,-1.1505149978319906,-0.8494850021680094,1.9,2.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.2967086218813386,1.0,0.7605232421052631,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.2,-1.1505149978319906,-0.8494850021680094,2.1,2.3,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.0996328713435296,1.0,0.7599125894736842,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.4,-1.1505149978319906,-0.8494850021680094,2.3,2.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.1003705451175629,0.0,0.7598492126315789,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.6,-1.1505149978319906,-0.8494850021680094,2.5,2.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.2999429000227671,0.0,0.7598913431578947,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
