summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,9,2.6666666666666665,2.875,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,10,2.6666666666666665,2.875,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,10,2.6666666666666665,2.875,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,2,11,2.6666666666666665,2.875,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,2,11,2.6666666666666665,2.875,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,0,2.875,3.0833333333333335,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,0,2.875,3.0833333333333335,2.25,2.4583333333333335,17.0,25.0,0.68
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,1,2.875,3.0833333333333335,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,1,2.875,3.0833333333333335,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,2,2.875,3.0833333333333335,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,2,2.875,3.0833333333333335,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,3,2.875,3.0833333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,3,2.875,3.0833333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,4,2.875,3.0833333333333335,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,4,2.875,3.0833333333333335,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,5,2.875,3.0833333333333335,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,5,2.875,3.0833333333333335,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,6,2.875,3.0833333333333335,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,6,2.875,3.0833333333333335,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,7,2.875,3.0833333333333335,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,7,2.875,3.0833333333333335,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,8,2.875,3.0833333333333335,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,8,2.875,3.0833333333333335,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,9,2.875,3.0833333333333335,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,9,2.875,3.0833333333333335,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,10,2.875,3.0833333333333335,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,10,2.875,3.0833333333333335,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,3,11,2.875,3.0833333333333335,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,3,11,2.875,3.0833333333333335,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,0,3.0833333333333335,3.291666666666667,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,0,3.0833333333333335,3.291666666666667,2.25,2.4583333333333335,24.0,25.0,0.96
