summary_version,scenario,diagnostic,kappa,bin,x_left,x_right,x,successes,count,probability
split-v5:unweighted:bh,baseline,first_threshold,4.0,27,1.4705882352941178,1.6176470588235299,1.5506928373824984,459.0,1100.0,0.4172727272727273
split-v5:unweighted:bh,baseline,first_threshold,inf,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,385.0,900.0,0.42777777777777776
split-v5:unweighted:bh,baseline,first_threshold,2.0,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,42.0,900.0,0.04666666666666667
split-v5:unweighted:bh,baseline,first_threshold,2.5,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,131.0,900.0,0.14555555555555555
split-v5:unweighted:bh,baseline,first_threshold,3.0,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,249.0,900.0,0.27666666666666667
split-v5:unweighted:bh,baseline,first_threshold,3.5,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,310.0,900.0,0.34444444444444444
split-v5:unweighted:bh,baseline,first_threshold,4.0,28,1.6176470588235299,1.7647058823529411,1.6919768302102733,351.0,900.0,0.39
split-v5:unweighted:bh,baseline,first_threshold,inf,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,404.0,1000.0,0.404
split-v5:unweighted:bh,baseline,first_threshold,2.0,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,43.0,1000.0,0.043
split-v5:unweighted:bh,baseline,first_threshold,2.5,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,124.0,1000.0,0.124
split-v5:unweighted:bh,baseline,first_threshold,3.0,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,240.0,1000.0,0.24
split-v5:unweighted:bh,baseline,first_threshold,3.5,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,315.0,1000.0,0.315
split-v5:unweighted:bh,baseline,first_threshold,4.0,29,1.7647058823529411,1.9117647058823533,1.8372939363299503,353.0,1000.0,0.353
split-v5:unweighted:bh,baseline,first_threshold,inf,30,1.9117647058823533,2.0588235294117645,1.9930384164648887,305.0,900.0,0.3388888888888889
split-v5:unweighted:bh,baseline,first_threshold,2.0,30,1.9117647058823533,2.0588235294117645,1.9930384164648887,18.0,900.0,0.02
split-v5:unweighted:bh,baseline,first_threshold,2.5,30,1.9117647058823533,2.0588235294117645,1.9930384164648887,75.0,900.0,0.08333333333333333
