export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,x_left,x_right,value,probability,count,style_key,label
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.2279956873099853,0.9883333333333333,-0.2941176470588234,-0.1470588235294117,0.9883333333333333,0.9883333333333333,600.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.2279956873099853,0.995,-0.2941176470588234,-0.1470588235294117,0.995,0.995,600.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-0.39279847919473776,1.0,-0.44117647058823506,-0.2941176470588234,1.0,1.0,500.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-0.39279847919473776,0.628,-0.44117647058823506,-0.2941176470588234,0.628,0.628,500.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-0.39279847919473776,0.854,-0.44117647058823506,-0.2941176470588234,0.854,0.854,500.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-0.39279847919473776,0.944,-0.44117647058823506,-0.2941176470588234,0.944,0.944,500.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.39279847919473776,0.992,-0.44117647058823506,-0.2941176470588234,0.992,0.992,500.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.39279847919473776,1.0,-0.44117647058823506,-0.2941176470588234,1.0,1.0,500.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-0.5451879150166741,1.0,-0.588235294117647,-0.44117647058823506,1.0,1.0,400.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-0.5451879150166741,0.65,-0.588235294117647,-0.44117647058823506,0.65,0.65,400.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-0.5451879150166741,0.875,-0.588235294117647,-0.44117647058823506,0.875,0.875,400.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-0.5451879150166741,0.9575,-0.588235294117647,-0.44117647058823506,0.9575,0.9575,400.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.5451879150166741,0.9925,-0.588235294117647,-0.44117647058823506,0.9925,0.9925,400.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.5451879150166741,1.0,-0.588235294117647,-0.44117647058823506,1.0,1.0,400.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-0.6920740042423654,1.0,-0.7352941176470589,-0.588235294117647,1.0,1.0,300.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-0.6920740042423654,0.6066666666666667,-0.7352941176470589,-0.588235294117647,0.6066666666666667,0.6066666666666667,300.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-0.6920740042423654,0.8233333333333334,-0.7352941176470589,-0.588235294117647,0.8233333333333334,0.8233333333333334,300.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-0.6920740042423654,0.9333333333333333,-0.7352941176470589,-0.588235294117647,0.9333333333333333,0.9333333333333333,300.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.6920740042423654,0.98,-0.7352941176470589,-0.588235294117647,0.98,0.98,300.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.6920740042423654,1.0,-0.7352941176470589,-0.588235294117647,1.0,1.0,300.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-0.9948008938157475,1.0,-1.0294117647058822,-0.8823529411764706,1.0,1.0,200.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-0.9948008938157475,0.57,-1.0294117647058822,-0.8823529411764706,0.57,0.57,200.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-0.9948008938157475,0.825,-1.0294117647058822,-0.8823529411764706,0.825,0.825,200.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-0.9948008938157475,0.94,-1.0294117647058822,-0.8823529411764706,0.94,0.94,200.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.9948008938157475,0.985,-1.0294117647058822,-0.8823529411764706,0.985,0.985,200.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.9948008938157475,0.995,-1.0294117647058822,-0.8823529411764706,0.995,0.995,200.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-0.8387948242766583,1.0,-0.8823529411764706,-0.7352941176470589,1.0,1.0,200.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-0.8387948242766583,0.685,-0.8823529411764706,-0.7352941176470589,0.685,0.685,200.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-0.8387948242766583,0.875,-0.8823529411764706,-0.7352941176470589,0.875,0.875,200.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-0.8387948242766583,0.97,-0.8823529411764706,-0.7352941176470589,0.97,0.97,200.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-0.8387948242766583,1.0,-0.8823529411764706,-0.7352941176470589,1.0,1.0,200.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-0.8387948242766583,1.0,-0.8823529411764706,-0.7352941176470589,1.0,1.0,200.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-1.3011385557150144,1.0,-1.3235294117647058,-1.1764705882352942,1.0,1.0,100.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-1.3011385557150144,0.47,-1.3235294117647058,-1.1764705882352942,0.47,0.47,100.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-1.3011385557150144,0.74,-1.3235294117647058,-1.1764705882352942,0.74,0.74,100.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-1.3011385557150144,0.92,-1.3235294117647058,-1.1764705882352942,0.92,0.92,100.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-1.3011385557150144,0.99,-1.3235294117647058,-1.1764705882352942,0.99,0.99,100.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-1.3011385557150144,0.99,-1.3235294117647058,-1.1764705882352942,0.99,0.99,100.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,bh,baseline,inf,,-1.139770553480044,1.0,-1.1764705882352942,-1.0294117647058822,1.0,1.0,100.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,bh,baseline,2.0,,-1.139770553480044,0.54,-1.1764705882352942,-1.0294117647058822,0.54,0.54,100.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,bh,baseline,2.5,,-1.139770553480044,0.78,-1.1764705882352942,-1.0294117647058822,0.78,0.78,100.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,bh,baseline,3.0,,-1.139770553480044,0.93,-1.1764705882352942,-1.0294117647058822,0.93,0.93,100.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,bh,baseline,3.5,,-1.139770553480044,0.99,-1.1764705882352942,-1.0294117647058822,0.99,0.99,100.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,bh,baseline,4.0,,-1.139770553480044,1.0,-1.1764705882352942,-1.0294117647058822,1.0,1.0,100.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,E,Rank-aware BH-scale diagnostic,1,rank_aware,bh,baseline,inf,,0.9576086181277441,0.0,0.8823529411764706,1.0294117647058822,0.0,0.0,1400.0,kappa_inf,$\log_{10}\Delta_{\mathrm{BH}}$
tikz-v3,figure1,E,Rank-aware BH-scale diagnostic,2,rank_aware,bh,baseline,2.0,,0.9576086181277441,0.0,0.8823529411764706,1.0294117647058822,0.0,0.0,1400.0,kappa_2.0,$\log_{10}\Delta_{\mathrm{BH}}$
tikz-v3,figure1,E,Rank-aware BH-scale diagnostic,3,rank_aware,bh,baseline,2.5,,0.9576086181277441,0.0,0.8823529411764706,1.0294117647058822,0.0,0.0,1400.0,kappa_2.5,$\log_{10}\Delta_{\mathrm{BH}}$
tikz-v3,figure1,E,Rank-aware BH-scale diagnostic,4,rank_aware,bh,baseline,3.0,,0.9576086181277441,0.0,0.8823529411764706,1.0294117647058822,0.0,0.0,1400.0,kappa_3.0,$\log_{10}\Delta_{\mathrm{BH}}$
