export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,count,style_key,label
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,3.6,-1.8010299956639813,-1.451544993495972,3.5,3.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.651278013998144,0.0,0.7614880000000003,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,3.8,-1.8010299956639813,-1.451544993495972,3.7,3.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.0,-0.8512583487190752,0.0,0.7572444210526315,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.6020599913279625,4.0,-1.8010299956639813,-1.451544993495972,3.9,4.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,0.0,0.0,0.0,0.01,-0.9437875343435338,0.0,0.7632473684210527,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.4,-1.451544993495972,-1.1505149978319906,1.3,1.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,1.2218487496163564,0.95,0.7554633684210524,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.6,-1.451544993495972,-1.1505149978319906,1.5,1.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,1.0338582672609673,0.96,0.7529652631578949,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,1.7999999999999998,-1.451544993495972,-1.1505149978319906,1.7,1.9,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,0.8101030815692856,0.96,0.7617345263157896,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.0,-1.451544993495972,-1.1505149978319906,1.9,2.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,0.6430185990068689,0.94,0.7582185263157893,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.2,-1.451544993495972,-1.1505149978319906,2.1,2.3,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,0.4006628670075109,0.8,0.7550263157894738,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.4,-1.451544993495972,-1.1505149978319906,2.3,2.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.01,0.2006594505464182,0.75,0.757420210526316,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,2.6,-1.451544993495972,-1.1505149978319906,2.5,2.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,0.0010870956412141,0.58,0.7531010526315791,100,finite_k1_alpha_sweep,statistical power
