summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,perfect_separation_rate
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,7,2.7,2.9,2.8,0.1,50,0.05,,100,2058.5,0.695,644.5381217736334,2.8092486091778746,2.0,0.039999999999999994,0.3,0.185,0.1343333333333333,-0.51246986436814,-0.4635944021870002,0.01,0.910625,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,7,2.7,2.9,2.8,0.1,50,0.05,,100,2058.5,0.695,644.5381217736334,2.8092486091778746,2.0,0.039999999999999994,0.69,0.565,0.122,-0.51246986436814,-0.4635944021870002,0.01,0.9783333333333334,0.14
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9,3.0999999999999996,3.0,0.1,50,0.05,,100,3045.34,0.65,1026.544333297929,3.0113777099568737,2.0,0.039999999999999994,0.99,0.99,0.08933333333333333,-0.7583439910760036,-0.6608041737442514,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9,3.0999999999999996,3.0,0.1,50,0.05,,100,3045.34,0.65,1026.544333297929,3.0113777099568737,2.0,0.039999999999999994,0.05,0.025,0.085,-0.7583439910760036,-0.6608041737442514,0.0,0.7492708333333334,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9,3.0999999999999996,3.0,0.1,50,0.05,,100,3045.34,0.65,1026.544333297929,3.0113777099568737,2.0,0.039999999999999994,0.29,0.175,0.1,-0.7583439910760036,-0.6608041737442514,0.0,0.918125,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,8,2.9,3.0999999999999996,3.0,0.1,50,0.05,,100,3045.34,0.65,1026.544333297929,3.0113777099568737,2.0,0.039999999999999994,0.75,0.55,0.08916666666666666,-0.7583439910760036,-0.6608041737442514,0.0,0.9808333333333333,0.08
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.0999999999999996,3.3,3.1999999999999997,0.1,50,0.05,,100,4672.33,0.69,1616.9472540947236,3.2086958531598175,2.0,0.039999999999999994,0.98,0.98,0.09766666666666668,-0.9673571508839122,-0.8630848253203598,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.0999999999999996,3.3,3.1999999999999997,0.1,50,0.05,,100,4672.33,0.69,1616.9472540947236,3.2086958531598175,2.0,0.039999999999999994,0.04,0.02,0.09166666666666666,-0.9673571508839122,-0.8630848253203598,0.0,0.7746875,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.0999999999999996,3.3,3.1999999999999997,0.1,50,0.05,,100,4672.33,0.69,1616.9472540947236,3.2086958531598175,2.0,0.039999999999999994,0.22,0.135,0.09933333333333333,-0.9673571508839122,-0.8630848253203598,0.0,0.929375,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,9,3.0999999999999996,3.3,3.1999999999999997,0.1,50,0.05,,100,4672.33,0.69,1616.9472540947236,3.2086958531598175,2.0,0.039999999999999994,0.79,0.605,0.07766666666666666,-0.9673571508839122,-0.8630848253203598,0.0,0.985,0.09
