seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
4,satellite,hbos,probabilistic,2209,1612,2209,1612,1531,81,0.05,0.067,0.173,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,,,,,0.0,,,,,0.0
4,satellite,hbos,probabilistic_weighted,2209,1612,2209,1612,1531,81,0.05,0.158,0.198,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49784041827688114,1612,2209,2190,1033,1.0,0.0,1.0,1.0,2209.0,1.0,0.0,1.0,1.0,1612.0,0.9849359096151906,0.19304894471245732,0.7004387790597554,1.4696818718562277,2127.2772420522415,1.0307827177384117,0.2168616464882774,0.7004387790597554,1.4696818718562277,1543.6738738469471
5,satellite,hbos,empirical,2155,1636,2155,1636,1554,82,0.05,0.13,0.244,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,,,,,0.0,,,,,0.0
5,satellite,hbos,empirical_randomized,2155,1636,2155,1636,1554,82,0.05,0.13,0.244,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,,,,,0.0,,,,,0.0
5,satellite,hbos,empirical_randomized_weighted,2155,1636,2155,1636,1554,82,0.05,0.105,0.207,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,0.9861749335156439,0.19311986897442804,0.7030046678653279,1.4435858946331384,2075.4115182793407,1.0293814212096069,0.2050883735288156,0.7030046678653279,1.4435858946331384,1573.5392754353663
5,satellite,hbos,empirical_weighted,2155,1636,2155,1636,1554,82,0.05,0.0,0.134,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,0.9861749335156439,0.19311986897442804,0.7030046678653279,1.4435858946331384,2075.4115182793407,1.0293814212096069,0.2050883735288156,0.7030046678653279,1.4435858946331384,1573.5392754353663
5,satellite,hbos,probabilistic,2155,1636,2155,1636,1554,82,0.05,0.115,0.28,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,,,,,0.0,,,,,0.0
5,satellite,hbos,probabilistic_weighted,2155,1636,2155,1636,1554,82,0.05,0.13,0.244,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5101159354398727,1636,2155,2244,1027,1.0,0.0,1.0,1.0,2155.0,1.0,0.0,1.0,1.0,1636.0,0.9861749335156439,0.19311986897442804,0.7030046678653279,1.4435858946331384,2075.4115182793407,1.0293814212096069,0.2050883735288156,0.7030046678653279,1.4435858946331384,1573.5392754353663
6,satellite,hbos,empirical,2226,1605,2226,1605,1525,80,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,,,,,0.0,,,,,0.0
6,satellite,hbos,empirical_randomized,2226,1605,2226,1605,1525,80,0.05,0.1,0.112,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,,,,,0.0,,,,,0.0
6,satellite,hbos,empirical_randomized_weighted,2226,1605,2226,1605,1525,80,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,0.986920461434167,0.19951121119839957,0.7030759738363408,1.4980646897725602,2138.6022362079034,1.0329653398537741,0.2210137401064851,0.7030759738363408,1.4980646897725602,1534.740972120959
6,satellite,hbos,empirical_weighted,2226,1605,2226,1605,1525,80,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,0.986920461434167,0.19951121119839957,0.7030759738363408,1.4980646897725602,2138.6022362079034,1.0329653398537741,0.2210137401064851,0.7030759738363408,1.4980646897725602,1534.740972120959
6,satellite,hbos,probabilistic,2226,1605,2226,1605,1525,80,0.05,0.056,0.212,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,,,,,0.0,,,,,0.0
6,satellite,hbos,probabilistic_weighted,2226,1605,2226,1605,1525,80,0.05,0.056,0.212,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4939759036144578,1605,2226,2173,1037,1.0,0.0,1.0,1.0,2226.0,1.0,0.0,1.0,1.0,1605.0,0.986920461434167,0.19951121119839957,0.7030759738363408,1.4980646897725602,2138.6022362079034,1.0329653398537741,0.2210137401064851,0.7030759738363408,1.4980646897725602,1534.740972120959
7,satellite,hbos,empirical,2157,1631,2157,1631,1549,82,0.05,0.062,0.183,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5096612866560581,1631,2157,2242,1020,1.0,0.0,1.0,1.0,2157.0,1.0,0.0,1.0,1.0,1631.0,,,,,0.0,,,,,0.0
