export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,figure4,A,resolution,2,14,resolution,calib_ess_fraction,1.5,2.0,c=2,0.3010299956639812,0.46943474376468575,0.46943474376468575,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,15,resolution,calib_ess_fraction,1.5,3.0,c=3,0.47712125471966244,0.3990488228379016,0.3990488228379016,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,16,resolution,calib_ess_fraction,1.5,5.0,c=5,0.6989700043360189,0.3214362149933482,0.3214362149933482,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,17,resolution,calib_ess_fraction,1.5,8.0,c=8,0.9030899869919435,0.26406337295929566,0.26406337295929566,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,18,resolution,calib_ess_fraction,1.5,13.0,c=13,1.1139433523068367,0.21848785901194867,0.21848785901194867,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,19,resolution,calib_ess_fraction,1.5,21.0,c=21,1.3222192947339193,0.18576137070897925,0.18576137070897925,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,20,resolution,calib_ess_fraction,1.5,34.0,c=34,1.5314789170422551,0.16500764269561083,0.16500764269561083,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,21,resolution,calib_ess_fraction,1.5,55.0,c=55,1.7403626894942439,0.15491577800364228,0.15491577800364228,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,22,resolution,calib_ess_fraction,1.5,89.0,c=89,1.9493900066449128,0.15160690627547943,0.15160690627547943,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,23,resolution,calib_ess_fraction,1.5,inf,unclipped,2.299390006644913,0.15107761080999557,0.15107761080999557,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,24,resolution,calib_ess_fraction,3.0,1.0,c=1,0.0,0.19058877680277403,0.19058877680277403,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,25,resolution,calib_ess_fraction,3.0,1.5,c=1.5,0.17609125905568124,0.16038972816728186,0.16038972816728186,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,26,resolution,calib_ess_fraction,3.0,2.0,c=2,0.3010299956639812,0.14117972602485163,0.14117972602485163,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,27,resolution,calib_ess_fraction,3.0,3.0,c=3,0.47712125471966244,0.11702986077333119,0.11702986077333119,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,28,resolution,calib_ess_fraction,3.0,5.0,c=5,0.6989700043360189,0.09139838620228306,0.09139838620228306,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,29,resolution,calib_ess_fraction,3.0,8.0,c=8,0.9030899869919435,0.07221798102381959,0.07221798102381959,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,30,resolution,calib_ess_fraction,3.0,13.0,c=13,1.1139433523068367,0.056314120035701645,0.056314120035701645,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,31,resolution,calib_ess_fraction,3.0,21.0,c=21,1.3222192947339193,0.043998906506495926,0.043998906506495926,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,32,resolution,calib_ess_fraction,3.0,34.0,c=34,1.5314789170422551,0.03488141765132079,0.03488141765132079,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,33,resolution,calib_ess_fraction,3.0,55.0,c=55,1.7403626894942439,0.028753494295355658,0.028753494295355658,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,34,resolution,calib_ess_fraction,3.0,89.0,c=89,1.9493900066449128,0.0250490422589604,0.0250490422589604,500,ess,mean calibration ESS / n
tikz-v2,figure4,A,resolution,2,35,resolution,calib_ess_fraction,3.0,inf,unclipped,2.299390006644913,0.021474915627155852,0.021474915627155852,500,ess,mean calibration ESS / n
tikz-v2,figure4,B,adaptation,3,0,adaptation,oracle_tail_mismatch,0.5,1.0,c=1,0.0,0.5305388261598772,0.5305388261598772,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,1,adaptation,oracle_tail_mismatch,0.5,1.5,c=1.5,0.17609125905568124,0.4189621845500099,0.4189621845500099,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,2,adaptation,oracle_tail_mismatch,0.5,2.0,c=2,0.3010299956639812,0.32055736938406165,0.32055736938406165,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,3,adaptation,oracle_tail_mismatch,0.5,3.0,c=3,0.47712125471966244,0.18218700311932673,0.18218700311932673,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,4,adaptation,oracle_tail_mismatch,0.5,5.0,c=5,0.6989700043360189,0.05090662515945381,0.05090662515945381,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,5,adaptation,oracle_tail_mismatch,0.5,8.0,c=8,0.9030899869919435,0.0025799467279517636,0.0025799467279517636,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,6,adaptation,oracle_tail_mismatch,0.5,13.0,c=13,1.1139433523068367,2.455595492758664e-05,2.455595492758664e-05,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,7,adaptation,oracle_tail_mismatch,0.5,21.0,c=21,1.3222192947339193,1.0480520563802258e-07,1.0480520563802258e-07,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,8,adaptation,oracle_tail_mismatch,0.5,34.0,c=34,1.5314789170422551,1.7989367922212472e-10,1.7989367922212472e-10,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,9,adaptation,oracle_tail_mismatch,0.5,55.0,c=55,1.7403626894942439,1.3304464433244268e-13,1.3304464433244268e-13,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,10,adaptation,oracle_tail_mismatch,0.5,89.0,c=89,1.9493900066449128,1.4680077564273372e-14,1.4680077564273372e-14,500,mismatch,oracle shifted-null tail mismatch
