summary_version,rho_order,rho,clip_order,clip_cap,clip_cap_label,plot_x,alpha,n_cal,m,n_seeds,tail_grid_size,tail_probability_min,tail_probability_max,bh_first_threshold,max_test_self_atom_mean,max_test_self_atom_median,test_self_atom_q50_mean,test_self_atom_q50_median,test_self_atom_q90_mean,test_self_atom_q90_median,test_self_atom_q95_mean,test_self_atom_q95_median,test_self_atom_q99_mean,test_self_atom_q99_median,max_calib_atom_mean,max_calib_atom_median,calib_ess_mean,calib_ess_median,calib_ess_fraction_mean,calib_ess_fraction_median,total_calib_weight_mean,total_calib_weight_median,max_test_self_atom_to_bh_threshold_mean,max_test_self_atom_to_bh_threshold_median,log10_inverse_max_test_self_atom_mean,log10_inverse_max_test_self_atom_median,sample_tail_bias_mean_mean,sample_tail_bias_mean_median,sample_tail_abs_bias_mean_mean,sample_tail_abs_bias_mean_median,sample_tail_bias_max_abs_mean,sample_tail_bias_max_abs_median,oracle_tail_mismatch_mean_abs_log10,oracle_tail_mismatch_max_abs_log10,oracle_tail_bias_mean,oracle_tail_abs_bias_mean,oracle_tail_bias_max_abs,oracle_tail_bias_signed_max,oracle_tail_bias_signed_min,clipped_target_normalizer,clipped_shift_tail_mass,clipped_reference_tail_mass,clipped_target_tv
clipping-frontier-v2,0,0.5,10,89.0,c=89,1.9493900066449128,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,1.4680077564273372e-14,1.6239274536754318e-13,-7.1303233499867e-19,2.835781604112672e-17,1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.3044369944545796e-18,1.3880502811840123e-20,0.0
clipping-frontier-v2,0,0.5,11,inf,unclipped,2.299390006644913,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.011463105368559313,0.011059165167347403,0.0022670551234085057,0.002270383407279184,0.004284925770735107,0.004275102616764347,0.005124246460905467,0.00511221807814384,0.007154473715193822,0.00713155929967141,0.008230460850048953,0.007881368166692819,389.86673138480273,390.35732236143116,0.7797334627696054,0.7807146447228623,499.7944395680438,499.513354303779,114.63105368559313,110.59165167347402,1.9475157000054917,1.9562776661372832,-0.00019122475323505737,-0.0005665601712683427,0.008434489924244953,0.007591821346068893,0.037717351832083086,0.035766852814787954,4.056202406189767e-16,1.6393566931405912e-15,-4.61683778230429e-18,1.4405489333953886e-17,1.3877787807814457e-16,1.1102230246251565e-16,-1.3877787807814457e-16,1.0,0.0,0.0,0.0
clipping-frontier-v2,1,1.5,0,1.0,c=1,0.0,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.0043882945667540535,0.004392797170217254,0.0043882945667540535,0.004392797170217254,0.0043882945667540535,0.004392797170217254,0.0043882945667540535,0.004392797170217254,0.0043882945667540535,0.004392797170217254,0.004407658260844178,0.0044121789775445385,300.5646954605771,300.431075784761,0.6011293909211544,0.600862151569522,227.13272689187863,226.64538431047762,43.88294566754054,43.92797170217253,2.357945742994938,2.3572588490680646,-0.052158217473373965,-0.05226991263531446,0.052158633011600404,0.05226991263531446,0.35376448543900085,0.35388618658645865,1.83230644076053,2.7023996889386073,-0.052148597587154635,0.052148597587154635,0.3526056087930606,-9.980157320802933e-05,-0.3526056087930606,0.4532547047537364,0.7733726476231317,0.2266273523768682,0.36583833702166646
clipping-frontier-v2,1,1.5,1,1.5,c=1.5,0.17609125905568124,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.005456722403134614,0.005465682814583579,0.005456722403134614,0.005465682814583579,0.005456722403134614,0.005465682814583579,0.005456722403134614,0.005465682814583579,0.005456722403134614,0.005465682814583579,0.005486709462360307,0.005495720680663882,261.4843724834353,261.19451030097804,0.5229687449668706,0.5223890206019561,273.8257669592694,272.9396356314835,54.567224031346136,54.65682814583578,2.2634116665196644,2.2623555749780317,-0.049971460511673234,-0.05006257702172211,0.04997255966541944,0.05006257702172211,0.3201519313264749,0.32047764720822847,1.7373915129165414,2.607484761094619,-0.04995198235552254,0.04995198235552254,0.3166014551536932,-9.975310332633451e-05,-0.3166014551536932,0.5464100164331543,0.6842760545735054,0.15379071400443978,0.3182980735411166
clipping-frontier-v2,1,1.5,2,2.0,c=2,0.3010299956639812,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.00649162196328334,0.006491208393378356,0.00649162196328334,0.006491208393378356,0.00649162196328334,0.006491208393378356,0.00649162196328334,0.006491208393378356,0.00649162196328334,0.006491208393378356,0.006534124431136872,0.00653361947957841,234.7173718823429,234.43826867557257,0.46943474376468575,0.46887653735114515,306.70638032645616,306.1090463711198,64.91621963283339,64.91208393378355,2.188081011261101,2.1876744511072026,-0.047852454744272875,-0.047959508135542284,0.047854777689831866,0.047959508135542284,0.29049673324456415,0.2903396319472871,1.6618173385725417,2.531910586750619,-0.04782520865218567,0.04782520865218567,0.28174205598881846,-9.970617454777197e-05,-0.28174205598881846,0.6121857472041015,0.6132890759633777,0.11273741158373957,0.28221198997464847
clipping-frontier-v2,1,1.5,3,3.0,c=3,0.47712125471966244,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.00850621352425511,0.008494734093665201,0.008395012973040973,0.008394977351764987,0.00850621352425511,0.008494734093665201,0.00850621352425511,0.008494734093665201,0.00850621352425511,0.008494734093665201,0.008579392330065112,0.008567512845608239,199.52441141895076,199.1771231908211,0.3990488228379016,0.3983542463816422,350.6459882601568,350.1600063429918,85.0621352425511,84.947340936652,2.070855306521178,2.0708502361544685,-0.04372558019599161,-0.04391976331868368,0.043732078467172086,0.04391976331868368,0.24370087719516398,0.2437920321137784,1.5441454838388222,2.4142387320168996,-0.04368117464269751,0.04368117464269751,0.22976310825062543,-9.961473348185988e-05,-0.22976310825062543,0.7003298192955656,0.507017753854318,0.06911585771662787,0.22995228038007937
clipping-frontier-v2,1,1.5,4,5.0,c=5,0.6989700043360189,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.012410887902090391,0.012375027648883,0.007685546721920034,0.0076597927265209635,0.012410887902090391,0.012375027648883,0.012410887902090391,0.012375027648883,0.012410887902090391,0.012375027648883,0.012567446202521221,0.012530087836626309,160.71810749667412,160.51943180389458,0.3214362149933482,0.32103886360778916,399.3708202851086,399.03951243663596,124.1088790209039,123.75027648883,1.9070022791000893,1.907453828049482,-0.03650061793847634,-0.036856199957286395,0.03652363898869817,0.036856199957286395,0.18668868751624837,0.18705161509328347,1.3796190248926377,2.248769507584869,-0.03637857332144917,0.03637857332144917,0.1659606572897446,-9.943606312626859e-05,-0.1659606572897446,0.7974108557116099,0.3733632947341116,0.0341548300891443,0.16606609637460276
clipping-frontier-v2,1,1.5,5,8.0,c=8,0.9030899869919435,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.01815972757366892,0.018095340455666405,0.00707371934558428,0.00703496089287244,0.01815972757366892,0.018095340455666405,0.01815972757366892,0.018095340455666405,0.01815972757366892,0.018095340455666405,0.018497336028683642,0.018428816168565877,132.0316864796478,131.67410883655646,0.26406337295929566,0.2633482176731129,434.73619382347727,434.1027754809012,181.59727573668917,180.95340455666405,1.7419712138718166,1.7424332479039084,-0.028921783188656947,-0.029297426681649148,0.02909180463286551,0.029344568241824583,0.14475291388087946,0.14360171041661046,1.2168677623436834,2.081651898417293,-0.02864875048076785,0.02864875048076785,0.11407282522108142,-9.917139394686554e-05,-0.11407282522108142,0.8683294230804341,0.2622922898018507,0.016327714110285604,0.1140883353036043
clipping-frontier-v2,1,1.5,6,13.0,c=13,1.1139433523068367,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.027586049224505978,0.027479344830052578,0.006679570610375049,0.006643283635561765,0.027586049224505978,0.027479344830052578,0.027586049224505978,0.027479344830052578,0.027586049224505978,0.027479344830052578,0.02830473801383421,0.028243468575813384,109.24392950597435,108.21104669580535,0.21848785901194867,0.21642209339161073,461.3693196584965,460.08262913415473,275.8604922450598,274.79344830052577,1.5607403795715158,1.560993637732432,-0.02126951682636328,-0.021474112868708043,0.022861027208133353,0.022218292112959132,0.11520523060067549,0.11052393345044317,1.0427058689068496,1.8967419812051236,-0.020767890247624092,0.020767890247624092,0.0710969775555399,-9.873159478543564e-05,-0.0710969775555399,0.9217814525701515,0.1685361035433351,0.006947504316422045,0.07111657496151141
clipping-frontier-v2,1,1.5,7,21.0,c=21,1.3222192947339193,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.04233574524629304,0.042257034058888615,0.006446036377356582,0.0064136325057067975,0.04103800478628101,0.04097634596508294,0.04233574524629304,0.042257034058888615,0.04233574524629304,0.042257034058888615,0.042123177253800936,0.04247481678447651,92.88068535448963,90.7111652686687,0.18576137070897925,0.1814223305373374,479.08295132947245,475.9586852594587,423.35745246293044,422.5703405888861,1.3750524720857593,1.3741009894393152,-0.014684963467117488,-0.015586696626134697,0.020276662671389913,0.018649668254897257,0.10359336326489577,0.0992279290763667,0.8701356308933299,1.7046611746655482,-0.01394549280826889,0.01394549280826889,0.040660721990907,-9.802603783019037e-05,-0.040660721990907,0.9568042620543389,0.10032856476205432,0.0027206108007806276,0.040731018643395164
clipping-frontier-v2,1,1.5,8,34.0,c=34,1.5314789170422551,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.06547496997594618,0.06547281381432782,0.006312437924736469,0.006281083200054453,0.04141727981245291,0.041069560012482215,0.06446784985474252,0.06475472432260931,0.06547496997594618,0.06547281381432782,0.05573880196002492,0.05786378697294104,82.50382134780541,79.60137295193363,0.16500764269561083,0.15920274590386727,490.2140446317113,485.29953320518507,654.7496997594617,654.7281381432781,1.185966125372248,1.183939004621588,-0.009597389285786772,-0.01091298953677821,0.0211264702362108,0.019100850054203096,0.10529605684154103,0.09758145173523873,0.7016578826340838,1.5049613322539348,-0.00856999696395289,0.00856999696395289,0.021175871298480153,-9.687364228758364e-05,-0.021175871298480153,0.9780991491127669,0.05469875766245786,0.0009646443169183738,0.02118456096964669
clipping-frontier-v2,1,1.5,9,55.0,c=55,1.7403626894942439,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.10075602164801646,0.10054482480738394,0.006243959852970793,0.006226368135822533,0.04098114337834034,0.040826467481913375,0.06851102825207159,0.06832678583297395,0.10075602164801646,0.10054482480738394,0.06509018291654256,0.0596402180395459,77.45788900182114,76.57601954781302,0.15491577800364228,0.15315203909562602,496.4510240914393,492.01983989897144,1007.5602164801645,1005.4482480738393,0.9989171283337646,0.9976403334296254,-0.006201658864378266,-0.00973156566161518,0.02338768550420099,0.021783659994084232,0.11105808801872494,0.10437801892656454,0.5434056347110502,1.3012385074536825,-0.0048062282076283425,0.0048062282076283425,0.010032711006854232,-9.500240000450685e-05,-0.010032711006854232,0.9897917480401242,0.027330858984853518,0.0003113201277268668,0.010033865053923681
clipping-frontier-v2,1,1.5,10,89.0,c=89,1.9493900066449128,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.1527531219088722,0.15253931499162626,0.006213953102885275,0.006206944938749098,0.040790034132027496,0.040658990329657835,0.06820415610049255,0.06807702377000427,0.1487463495725704,0.14989341195189712,0.06962589508440793,0.0596402180395459,75.80345313773971,76.57601954781302,0.15160690627547943,0.15315203909562602,499.42530654811463,494.4561492480574,1527.5312190887219,1525.3931499162622,0.818130950068639,0.8166182114840089,-0.004376697321574792,-0.00973156566161518,0.025009171532915736,0.022810166860221796,0.11515076160328593,0.11052393345044317,0.39936634116087616,1.0947711357951238,-0.002444832721746689,0.002444832721746689,0.004319783193158917,-9.196050324583694e-05,-0.004319783193158917,0.9956432969185711,0.012466983101705239,9.112674180085744e-05,0.004321419393656028
clipping-frontier-v2,1,1.5,11,inf,unclipped,2.299390006644913,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.44567901351739125,0.43168735913933176,0.006203524982790657,0.006205837447012353,0.040724647824193855,0.040624392842426894,0.06809935149706274,0.06802442022318678,0.16547317910040818,0.16612095893101805,0.07117289810587796,0.0596402180395459,75.53880540499777,76.57601954781302,0.15107761080999557,0.15315203909562602,500.6375038458128,494.8639295764284,4456.790135173912,4316.873591393318,0.3665943905142542,0.3648307323211881,-0.003596899510553448,-0.00973156566161518,0.025782221951217293,0.022810166860221796,0.11662193286642229,0.11052393345044317,4.899988939423892e-16,1.6393566931405912e-15,-7.156581371351584e-18,1.6300132630372304e-17,1.3877787807814457e-16,1.1102230246251565e-16,-1.3877787807814457e-16,1.0,0.0,0.0,0.0
clipping-frontier-v2,2,3.0,0,1.0,c=1,0.0,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.014777478422591995,0.014682910664021182,0.014777478422591995,0.014682910664021182,0.014777478422591995,0.014682910664021182,0.014777478422591995,0.014682910664021182,0.014777478422591995,0.014682910664021182,0.015000837679304947,0.014901711158028245,95.29438840138701,95.14796899769766,0.19058877680277403,0.1902959379953953,67.18069943156122,67.10638737648709,147.77478422591992,146.82910664021182,1.8320271663541066,1.833187843926341,-0.060752066715217976,-0.06114113683763407,0.060752066715217976,0.06114113683763407,0.49100169664572596,0.5,4.395939335800171,6.1645384830421035,-0.06074830888805989,0.06074830888805989,0.4898970619484748,-9.999993153611858e-05,-0.4898970619484748,0.13361440253771611,0.9331927987311419,0.06680720126885806,0.6844420122379268
clipping-frontier-v2,2,3.0,1,1.5,c=1.5,0.17609125905568124,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.0181861283793515,0.018140290862904942,0.0181861283793515,0.018140290862904942,0.0181861283793515,0.018140290862904942,0.0181861283793515,0.018140290862904942,0.0181861283793515,0.018140290862904942,0.01852622076879645,0.01847544080834146,80.19486408364095,80.18487469624412,0.16038972816728186,0.16036974939248827,81.7480139222504,81.18887982383029,181.86128379351507,181.40290862904942,1.7422673235292687,1.7413558016431832,-0.06066094935289244,-0.06114113683763407,0.06066099155507748,0.06114113683763407,0.4889217356178224,0.5,4.305284394921301,6.073883542163235,-0.06065712350933604,0.06065712350933604,0.48755191254286256,-9.999991564390684e-05,-0.48755191254286256,0.16266330505929577,0.9138491084143325,0.05100827564908549,0.6606848271882283
clipping-frontier-v2,2,3.0,2,2.0,c=2,0.3010299956639812,0.1,500,1000,500,80,0.0001,0.5,0.0001,0.02122457708570011,0.02121502436555718,0.02122457708570011,0.02121502436555718,0.02122457708570011,0.02121502436555718,0.02122457708570011,0.02121502436555718,0.02122457708570011,0.02121502436555718,0.02168993018029094,0.021674857020314714,70.58986301242581,70.67932972656163,0.14117972602485163,0.1413586594531233,93.23550874249692,92.27281884439884,212.24577085700108,212.15024365557178,1.6754619789948773,1.6733564812628525,-0.06057961001769692,-0.06114113683763407,0.060579949859109604,0.06114113683763407,0.48708003806721384,0.5,4.237803173613213,6.006402320855146,-0.060575759310070657,0.060575759310070657,0.48545934895190346,-9.99999014633759e-05,-0.48545934895190346,0.18567229585043993,0.8977707187923674,0.04172150732140367,0.6425472765117934
