summary_version,base_seed,weighted_simulator_version,target_log10_neff,neff_band_lower,neff_band_upper,neff_half_width,rho,alpha,m,pi1,requested_trials,attempt_index,accepted_index,n_cal,calib_ess,log10_neff,n_anomaly,actual_pi1,rank_delta,log10_rank_delta,rank_delta_above_one,perfect_any_discovery,perfect_power,perfect_fdr,perfect_auroc,perfect_perfect_separation_rate,finite_k3_any_discovery,finite_k3_power,finite_k3_fdr,finite_k3_auroc,finite_k3_perfect_separation_rate,attempts_for_cell
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,55,27,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9899789473684212,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,56,28,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9819789473684212,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,57,29,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9914105263157896,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,61,30,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.975578947368421,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,62,31,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9710315789473686,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,63,32,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9905684210526315,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,67,33,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9904842105263159,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,68,34,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9790315789473685,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,69,35,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9861894736842106,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,73,36,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.984421052631579,0.0,200
