summary_version,aggregation_unit,method,source_summary_version,score_regime,bin_index,diagnostic_left,diagnostic_right,diagnostic_center,cell_count,diagnostic_mean,power_mean,power_median,power_q25,power_q75
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,40,0.22059743046230365,0.0011975,0.0004,0.0,0.001
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,35,0.5637832130663092,0.0007885714285714286,0.0,0.0,0.0004
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,10,0.7142857142857144,1.035714285714286,0.8750000000000002,26,0.8700679866681905,0.0002730769230769231,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.2065368410510282,3.3333333333333335e-05,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,9,1.5191604859672958,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k1,13,1.6785714285714288,2.0,1.8392857142857144,5,1.8205378286461928,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,0,-2.5,-2.1785714285714284,-2.3392857142857144,1,-2.184798086384172,0.381,0.381,0.381,0.381
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,5,-2.0119042275181593,0.32058,0.3257000000000001,0.311,0.3312
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,20,-1.6499884761775334,0.19829999999999998,0.19389999999999996,0.15389999999999998,0.22895
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,3,-1.5357142857142856,-1.2142857142857142,-1.375,26,-1.359928364236651,0.16786153846153842,0.13959999999999995,0.10784999999999992,0.2095
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,33,-1.0276348419358394,0.12762272727272728,0.1158,0.066,0.1703
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,35,-0.7218446433157011,0.08297857142857142,0.0564,0.028,0.12454999999999995
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,6,-0.5714285714285712,-0.25,-0.4107142857142856,40,-0.3984607935420004,0.046579999999999996,0.0241,0.01195,0.08175
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,7,-0.25,0.07142857142857162,-0.08928571428571419,32,-0.08814572889178635,0.028310937499999998,0.0133,0.008749999999999999,0.033225000000000005
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,40,0.22059743046230365,0.011621249999999993,0.00515,0.003,0.0165
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,35,0.5637832130663092,0.004548571428571428,0.003,0.001,0.006
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,10,0.7142857142857144,1.035714285714286,0.8750000000000002,26,0.8700679866681905,0.00257307692307692,0.0006,0.0,0.00215
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.2065368410510282,0.00042000000000000007,0.0,0.0,0.0007
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,9,1.5191604859672958,0.0006888888888888888,0.0,0.0,0.002
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k2,13,1.6785714285714288,2.0,1.8392857142857144,5,1.8205378286461928,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,0,-2.5,-2.1785714285714284,-2.3392857142857144,1,-2.184798086384172,0.8030000000000002,0.8030000000000002,0.8030000000000002,0.8030000000000002
