summary_version,score_regime,target_log10_neff,rho,alpha,m,pi1,neff_half_width,accepted_trials,attempts_for_cell,acceptance_rate,n_cal_min,n_cal_mean,n_cal_max,log10_neff_min,log10_neff_q25,log10_neff_mean,log10_neff_median,log10_neff_q75,log10_neff_max,discovery_probability,power_mean,power_standard_error,power_ci95_low,power_ci95_high,fdr_mean,auroc_mean,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,perfect_separation_rate
operational-sufficiency-v2,finite_k3,2.7,1.0,0.1,500,0.05,0.08,100,237,0.4219409282700422,954,1382.08,2180,2.6229875779318497,2.664275872856519,2.700038945957188,2.7013440153343784,2.7299880765057685,2.7754292252364663,0.76,0.3808,0.026554187023609826,0.3287537934337248,0.43284620656627526,0.08467097364479244,0.9835654736842107,-0.4469183229027398,-0.45357951555493137,0.0,0.0
operational-sufficiency-v2,finite_k3,3.0,1.0,0.1,500,0.05,0.08,100,237,0.4219409282700422,2311,2740.06,3670,2.921136777224337,2.9623069029847917,3.0040181938005492,3.0065469765902755,3.0380691357476843,3.0794602931009467,0.94,0.5096,0.02156405538966372,0.4673344514362592,0.5518655485637409,0.08610084492017457,0.9833490526315789,-0.7515291983118421,-0.7302234239781168,0.0,0.0
operational-sufficiency-v2,finite_k3,2.1,1.5,0.1,500,0.05,0.08,100,448,0.22321428571428573,836,1109.42,1911,2.020627749169749,2.0686391695313024,2.1113606759484362,2.121745211621591,2.1496324692078073,2.1799644618623155,0.59,0.19999999999999996,0.01993930183270612,0.16091896840789596,0.23908103159210395,0.07985840624915533,0.9831410526315788,-0.3715156962859615,-0.35015703951753424,0.02,0.0
operational-sufficiency-v2,finite_k3,2.4,1.5,0.1,500,0.05,0.08,100,356,0.2808988764044944,1668,2198.45,3813,2.3230352461821737,2.3678264220598804,2.405890400109079,2.4018577104500434,2.4478597338855064,2.4794405851114507,0.56,0.22760000000000002,0.023349397067897563,0.18183518174692082,0.27336481825307923,0.06627295949664369,0.9845069473684211,-0.6103680747284898,-0.598572568191146,0.0,0.0
operational-sufficiency-v2,finite_k3,2.7,1.5,0.1,500,0.05,0.08,100,349,0.28653295128939826,3329,4379.54,7608,2.622904555547957,2.6631542069829544,2.7054309640674514,2.7094461968699495,2.750067726390519,2.779828126883891,0.77,0.39519999999999994,0.025484588331465007,0.34525020687032854,0.44514979312967135,0.09147067696416195,0.982128,-0.9178096419968205,-0.8995471935868877,0.0,0.0
operational-sufficiency-v2,finite_k3,3.0,1.5,0.1,500,0.05,0.08,100,284,0.352112676056338,6641,9084.61,15180,2.9235446925353537,2.97761329192336,3.009017938286898,3.0140296752880547,3.0479957875176753,3.078042799019668,0.92,0.5124,0.02087921976946979,0.4714767292518392,0.5533232707481608,0.08426544599565194,0.983525052631579,-1.2914121925008226,-1.2446323928371084,0.0,0.0
operational-sufficiency-v2,perfect,2.1,0.0,0.1,500,0.05,0.08,100,200,0.5,107,125.81,145,2.0293837776852097,2.0293837776852097,2.096364205039309,2.100370545117563,2.161368002234975,2.161368002234975,0.04,0.04,0.019694638556693237,0.0013985084288812566,0.07860149157111875,0.013946886446886447,1.0,0.20117424847408816,0.1972262747080242,1.0,1.0
operational-sufficiency-v2,perfect,2.4,0.0,0.1,500,0.05,0.08,100,200,0.5,214,250.96,289,2.330413773349191,2.330413773349191,2.3963292991371277,2.399673721481038,2.460897842756548,2.460897842756548,1.0,1.0,0.0,1.0,1.0,0.06803972966688479,1.0,-0.09705259847188968,-0.1003705451175629,0.0,1.0
operational-sufficiency-v2,perfect,2.7,0.0,0.1,500,0.05,0.08,100,200,0.5,426,500.25,576,2.629409599102719,2.629409599102719,2.695885132760775,2.699837725867246,2.760422483423212,2.760422483423212,1.0,1.0,0.0,1.0,1.0,0.08712945930647611,1.0,-0.3957357268437745,-0.3996737214810381,0.0,1.0
operational-sufficiency-v2,perfect,3.0,0.0,0.1,500,0.05,0.08,100,200,0.5,850,998.5,1150,2.929418925714293,2.929418925714293,2.9960327220595513,3.0,3.060697840353612,3.060697840353612,1.0,1.0,0.0,1.0,1.0,0.07772203448510452,1.0,-0.6954441571307851,-0.6994040818153374,0.0,1.0
operational-sufficiency-v2,perfect,2.1,0.5,0.1,500,0.05,0.08,100,218,0.45871559633027525,137,161.68,186,2.0209058954846624,2.0431621308583647,2.099069524110698,2.104789822713455,2.146121435516211,2.179488521122641,0.25,0.084,0.015626964522965435,0.053371149534987755,0.11462885046501226,0.030681991211402974,1.0,0.3619821357099009,0.3704126306173805,1.0,1.0
