summary_version,dataset,severity,approach,alpha,m_mean,actual_anomaly_rate_mean,power_mean,fdr_mean,calib_neff_mean,p_floor_proxy_mean,log10_m_over_alpha,log10_inverse_p_floor_proxy,approx_log10_rank_delta,certified_proxy_rate,count
empirical-projection-v1,satellite,0.0,empirical_randomized,0.1,1158.76,0.05,0.21928,0.17968,1058.56,0.000944474074972799,4.063935465431172,3.024967782328783,-0.7240963718348342,0.0,25
empirical-projection-v1,satellite,0.0,empirical_randomized_weighted,0.1,1158.76,0.05,0.040040000000000006,0.03568,519.9914956185526,0.0015499303098222112,4.063935465431172,2.812499958793464,-0.5116285482995154,0.0,25
empirical-projection-v1,satellite,0.0,empirical_weighted,0.1,1158.76,0.05,0.01932,0.00972,519.9914956185526,0.0015499303098222112,4.063935465431172,2.812499958793464,-0.5116285482995154,0.0,25
empirical-projection-v1,satellite,0.5,empirical_randomized_weighted,0.1,1125.44,0.05,0.007039999999999999,0.02352,449.4684942056741,0.0021624318188195944,4.051276665109334,2.6683335420609895,-0.36736396325170384,0.0,25
empirical-projection-v1,satellite,0.5,empirical_weighted,0.1,1125.44,0.05,0.0,0.0,449.4684942056741,0.0021624318188195944,4.051276665109334,2.6683335420609895,-0.36736396325170384,0.0,25
empirical-projection-v1,satellite,1.0,empirical_randomized_weighted,0.1,1137.2,0.05,0.00988,0.07232,414.2034592997638,0.0021911381028022277,4.055800517767976,2.6623061614854464,-0.3614154817403213,0.0,25
empirical-projection-v1,satellite,1.0,empirical_weighted,0.1,1137.2,0.05,0.0,0.0,414.2034592997638,0.0021911381028022277,4.055800517767976,2.6623061614854464,-0.3614154817403213,0.0,25
empirical-projection-v1,satellite,4.0,empirical_randomized_weighted,0.1,1152.88,0.05,0.008320000000000001,0.05668,390.4118309607809,0.002246682977264302,4.0617517135120496,2.650642741565926,-0.34988153194101407,0.0,25
empirical-projection-v1,satellite,4.0,empirical_weighted,0.1,1152.88,0.05,0.0,0.0,390.4118309607809,0.002246682977264302,4.0617517135120496,2.650642741565926,-0.34988153194101407,0.0,25
empirical-projection-v1,satellite,16.0,empirical_randomized_weighted,0.1,1155.04,0.05,0.0,0.0,389.05369628649356,0.0022009666030212505,4.06256490037676,2.6588379499825403,-0.35815960045487233,0.0,25
empirical-projection-v1,satellite,16.0,empirical_weighted,0.1,1155.04,0.05,0.0,0.0,389.05369628649356,0.0022009666030212505,4.06256490037676,2.6588379499825403,-0.35815960045487233,0.0,25
empirical-projection-v1,vowels,0.0,empirical,0.1,261.88,0.04956000000000001,0.0,0.0,338.88,0.0029484496653790493,3.417920471855208,2.5308682488705525,-0.22519135432527562,0.0,25
empirical-projection-v1,vowels,0.0,empirical_randomized,0.1,261.88,0.04956000000000001,0.034159999999999996,0.12,338.88,0.0029484496653790493,3.417920471855208,2.5308682488705525,-0.22519135432527562,0.0,25
empirical-projection-v1,vowels,0.0,empirical_randomized_weighted,0.1,261.88,0.04956000000000001,0.009519999999999999,0.0,155.41740152926127,0.007916008299723835,3.417920471855208,2.1075852297475763,0.19809166479770077,1.0,25
empirical-projection-v1,vowels,0.0,empirical_weighted,0.1,261.88,0.04956000000000001,0.0,0.0,155.41740152926127,0.007916008299723835,3.417920471855208,2.1075852297475763,0.19809166479770077,1.0,25
empirical-projection-v1,vowels,0.5,empirical_randomized_weighted,0.1,262.92,0.04976,0.0064,0.0,137.26047369971485,0.011613785292149337,3.419663524053894,1.9481442696499662,0.3552073212584038,1.0,25
empirical-projection-v1,vowels,0.5,empirical_weighted,0.1,262.92,0.04976,0.0,0.0,137.26047369971485,0.011613785292149337,3.419663524053894,1.9481442696499662,0.3552073212584038,1.0,25
empirical-projection-v1,vowels,1.0,empirical_randomized_weighted,0.1,262.88,0.05008,0.0028399999999999996,0.0,132.32188675311625,0.01148474074491698,3.419639311810061,1.9545382348134441,0.34600817535035566,1.0,25
empirical-projection-v1,vowels,1.0,empirical_weighted,0.1,262.88,0.05008,0.0,0.0,132.32188675311625,0.01148474074491698,3.419639311810061,1.9545382348134441,0.34600817535035566,1.0,25
empirical-projection-v1,vowels,4.0,empirical_randomized_weighted,0.1,263.12,0.05004,0.0,0.0,125.05797858989895,0.012052573667049617,3.420031943280537,1.9289878665768032,0.371951175057473,1.0,25
empirical-projection-v1,vowels,4.0,empirical_weighted,0.1,263.12,0.05004,0.0,0.0,125.05797858989895,0.012052573667049617,3.420031943280537,1.9289878665768032,0.371951175057473,1.0,25
empirical-projection-v1,vowels,16.0,empirical_randomized_weighted,0.1,262.96,0.04988000000000001,0.00616,0.04,125.89778464107043,0.012305596112256187,3.419753001338584,1.9221147036610102,0.37993588028168096,1.0,25
empirical-projection-v1,vowels,16.0,empirical_weighted,0.1,262.96,0.04988000000000001,0.0,0.0,125.89778464107043,0.012305596112256187,3.419753001338584,1.9221147036610102,0.37993588028168096,1.0,25
empirical-projection-v1,wbc,0.0,empirical,0.1,39.64,0.04976,0.0,0.0,52.4,0.01890366410346731,2.5972585818008254,1.7255341201961805,0.582735665767223,1.0,25
empirical-projection-v1,wbc,0.0,empirical_randomized,0.1,39.64,0.04976,0.1,0.11336,52.4,0.01890366410346731,2.5972585818008254,1.7255341201961805,0.582735665767223,1.0,25
empirical-projection-v1,wbc,0.0,empirical_randomized_weighted,0.1,39.64,0.04976,0.0,0.04,24.840186096854588,0.03369708497233801,2.5972585818008254,1.4822130192947682,0.8260567666686353,1.0,25
empirical-projection-v1,wbc,0.0,empirical_weighted,0.1,39.64,0.04976,0.0,0.0,24.840186096854588,0.03369708497233801,2.5972585818008254,1.4822130192947682,0.8260567666686353,1.0,25
empirical-projection-v1,wbc,0.5,empirical_randomized_weighted,0.1,40.52,0.0496,0.02,0.0,23.773725239383925,0.03862706317560933,2.6068896581288086,1.4256150571922672,0.8802446052725599,1.0,25
empirical-projection-v1,wbc,0.5,empirical_weighted,0.1,40.52,0.0496,0.0,0.0,23.773725239383925,0.03862706317560933,2.6068896581288086,1.4256150571922672,0.8802446052725599,1.0,25
empirical-projection-v1,wbc,1.0,empirical_randomized_weighted,0.1,40.4,0.04968,0.06,0.0,23.4497074601493,0.04238032797482184,2.6054917817847456,1.3848448572748442,0.9196169288459204,1.0,25
empirical-projection-v1,wbc,1.0,empirical_weighted,0.1,40.4,0.04968,0.0,0.0,23.4497074601493,0.04238032797482184,2.6054917817847456,1.3848448572748442,0.9196169288459204,1.0,25
empirical-projection-v1,wbc,4.0,empirical_randomized_weighted,0.1,40.4,0.04972000000000001,0.02,0.0,22.50246491524178,0.047569637727076695,2.605494524169044,1.3353500568303165,0.9691144716747465,1.0,25
empirical-projection-v1,wbc,4.0,empirical_weighted,0.1,40.4,0.04972000000000001,0.0,0.0,22.50246491524178,0.047569637727076695,2.605494524169044,1.3353500568303165,0.9691144716747465,1.0,25
empirical-projection-v1,wbc,16.0,empirical_randomized_weighted,0.1,40.56,0.04956000000000001,0.02,0.04,22.464098473404697,0.04850985982263292,2.607245375579397,1.341077769401288,0.965137610514128,1.0,25
empirical-projection-v1,wbc,16.0,empirical_weighted,0.1,40.56,0.04956000000000001,0.0,0.0,22.464098473404697,0.04850985982263292,2.607245375579397,1.341077769401288,0.965137610514128,1.0,25
empirical-projection-v1,wdbc,0.0,empirical,0.1,65.72,0.04384,0.0,0.0,87.2,0.011379127227419525,2.817384671539814,1.9446745418731408,0.4217173754980241,1.0,25
empirical-projection-v1,wdbc,0.0,empirical_randomized,0.1,65.72,0.04384,0.08,0.17067999999999997,87.2,0.011379127227419525,2.817384671539814,1.9446745418731408,0.4217173754980241,1.0,25
empirical-projection-v1,wdbc,0.0,empirical_randomized_weighted,0.1,65.72,0.04384,0.0,0.04,39.39192368669347,0.03749752895717861,2.817384671539814,1.4337221897306731,0.9326697276404918,1.0,25
empirical-projection-v1,wdbc,0.0,empirical_weighted,0.1,65.72,0.04384,0.0,0.0,39.39192368669347,0.03749752895717861,2.817384671539814,1.4337221897306731,0.9326697276404918,1.0,25
empirical-projection-v1,wdbc,0.5,empirical_randomized_weighted,0.1,66.96,0.047080000000000004,0.023319999999999997,0.06,36.032020673651374,0.05319908492450381,2.8252825509934043,1.3112954635035947,1.0209678367086092,1.0,25
empirical-projection-v1,wdbc,0.5,empirical_weighted,0.1,66.96,0.047080000000000004,0.0,0.0,36.032020673651374,0.05319908492450381,2.8252825509934043,1.3112954635035947,1.0209678367086092,1.0,25
empirical-projection-v1,wdbc,1.0,empirical_randomized_weighted,0.1,67.16,0.04692,0.0,0.08,33.781808234589,0.0586991106034135,2.8264336829313237,1.2552220228799846,1.0781924092701392,1.0,25
empirical-projection-v1,wdbc,1.0,empirical_weighted,0.1,67.16,0.04692,0.0,0.0,33.781808234589,0.0586991106034135,2.8264336829313237,1.2552220228799846,1.0781924092701392,1.0,25
empirical-projection-v1,wdbc,4.0,empirical_randomized_weighted,0.1,66.72,0.046639999999999994,0.0,0.04,31.848000172266115,0.06417717125673143,2.823450434020314,1.2260455570997162,1.1093831756037302,1.0,25
empirical-projection-v1,wdbc,4.0,empirical_weighted,0.1,66.72,0.046639999999999994,0.0,0.0,31.848000172266115,0.06417717125673143,2.823450434020314,1.2260455570997162,1.1093831756037302,1.0,25
empirical-projection-v1,wdbc,16.0,empirical_randomized_weighted,0.1,66.56,0.046799999999999994,0.04332,0.11332,31.98356044043524,0.06175913796681908,2.822388797618598,1.246094627214788,1.0882724690869419,1.0,25
empirical-projection-v1,wdbc,16.0,empirical_weighted,0.1,66.56,0.046799999999999994,0.0,0.0,31.98356044043524,0.06175913796681908,2.822388797618598,1.246094627214788,1.0882724690869419,1.0,25
