export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,3.0000000000000004,-1.4515449934959719,-1.1505149978319906,2.9000000000000004,3.1000000000000005,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0002,0.0002,0.01,0.0,-0.3526647996511006,0.0,0.7581865263157893,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,3.2000000000000006,-1.4515449934959719,-1.1505149978319906,3.1000000000000005,3.3000000000000007,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.01,-0.5523639817866846,0.0,0.7564703157894738,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,3.400000000000001,-1.4515449934959719,-1.1505149978319906,3.3000000000000007,3.500000000000001,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,-0.7524326092614742,0.0,0.757332842105263,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.3010299956639813,3.6000000000000005,-1.4515449934959719,-1.1505149978319906,3.500000000000001,3.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,0.0,0.0,0.0,0.0,-0.85187504346837,0.0,0.7622404210526313,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,1.4,-1.1505149978319906,-0.8494850021680094,1.3,1.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.02,0.9208187539523751,0.96,0.7617987368421052,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,1.6,-1.1505149978319906,-0.8494850021680094,1.5,1.7000000000000002,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.01,0.7328282715969862,0.98,0.7614804210526315,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,1.8000000000000003,-1.1505149978319906,-0.8494850021680094,1.7000000000000002,1.9000000000000001,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.01,0.49969111844135905,0.85,0.7609604210526316,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.0,-1.1505149978319906,-0.8494850021680094,1.9000000000000001,2.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.01,0.3109099602019385,0.81,0.7551229473684211,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.2,-1.1505149978319906,-0.8494850021680094,2.1,2.3000000000000003,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.0,0.1394602432739278,0.81,0.7604789473684209,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.4000000000000004,-1.1505149978319906,-0.8494850021680094,2.3000000000000003,2.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0002,0.0002,0.01,0.0,-0.05499586152914149,0.31,0.7596673684210526,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.6,-1.1505149978319906,-0.8494850021680094,2.5,2.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0004,0.0004,0.02,0.015,-0.283479395018547,0.01,0.7601858947368422,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,2.8000000000000003,-1.1505149978319906,-0.8494850021680094,2.7,2.9000000000000004,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0016,0.0016,0.04,0.013333333333333334,-0.4996870826184039,0.0,0.7632029473684212,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.0000000000000004,-1.1505149978319906,-0.8494850021680094,2.9000000000000004,3.1000000000000005,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0,0.0,0.0,0.0,-0.658874898678651,0.0,0.7647458947368422,100,finite_k1_alpha_sweep,statistical power
