export_version,figure,panel,panel_title,plot_order,group,method,dataset,severity,x,y,x_left,x_right,y_bottom,y_top,value,power,fdr,approx_log10_rank_delta,certified_proxy_rate,count,style_key,label
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,cardio,0.5,3.5102120965488712,2.1072375958033147,,,,,0.0,0.0,0.0,0.19786935193585356,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,ionosphere,0.5,2.790777793558436,1.0368262846567873,,,,,0.06663999999999999,0.06663999999999999,0.07,1.2718327047176545,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,ionosphere,0.5,2.790777793558436,1.0368262846567873,,,,,0.0,0.0,0.0,1.2718327047176545,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,mammography,0.5,4.305158016934539,3.0658489475530075,,,,,0.00596,0.00596,0.01944,-0.7637798701449933,0.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,mammography,0.5,4.305158016934539,3.0658489475530075,,,,,0.0,0.0,0.0,-0.7637798701449933,0.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,musk,0.5,3.74126344578202,2.274039603177456,,,,,0.06359999999999999,0.06359999999999999,0.03956,0.027061306808224397,0.52,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,musk,0.5,3.74126344578202,2.274039603177456,,,,,0.0,0.0,0.0,0.027061306808224397,0.52,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,satellite,0.5,4.051276665109334,2.6683335420609895,,,,,0.007039999999999999,0.007039999999999999,0.02352,-0.36736396325170384,0.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,satellite,0.5,4.051276665109334,2.6683335420609895,,,,,0.0,0.0,0.0,-0.36736396325170384,0.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,vowels,0.5,3.419663524053894,1.9481442696499662,,,,,0.0064,0.0064,0.0,0.3552073212584038,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,vowels,0.5,3.419663524053894,1.9481442696499662,,,,,0.0,0.0,0.0,0.3552073212584038,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wbc,0.5,2.6068896581288086,1.4256150571922672,,,,,0.02,0.02,0.0,0.8802446052725599,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wbc,0.5,2.6068896581288086,1.4256150571922672,,,,,0.0,0.0,0.0,0.8802446052725599,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wdbc,0.5,2.8252825509934043,1.3112954635035947,,,,,0.023319999999999997,0.023319999999999997,0.06,1.0209678367086092,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wdbc,0.5,2.8252825509934043,1.3112954635035947,,,,,0.0,0.0,0.0,1.0209678367086092,1.0,25,severity_0.5,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,breastw,1.0,3.116775140356671,1.461077678120684,,,,,0.011439999999999999,0.011439999999999999,0.04,0.8454117528296484,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,breastw,1.0,3.116775140356671,1.461077678120684,,,,,0.0,0.0,0.0,0.8454117528296484,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,cardio,1.0,3.5085624106527735,2.0759620656445366,,,,,0.00496,0.00496,0.04,0.22861634514254373,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,cardio,1.0,3.5085624106527735,2.0759620656445366,,,,,0.0,0.0,0.0,0.22861634514254373,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,ionosphere,1.0,2.793649502903601,0.9788871324777828,,,,,0.0,0.0,0.04,1.3376411157061556,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,ionosphere,1.0,2.793649502903601,0.9788871324777828,,,,,0.0,0.0,0.0,1.3376411157061556,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,mammography,1.0,4.30494539304973,3.062636543376418,,,,,0.002,0.002,0.036000000000000004,-0.7607853026902437,0.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,mammography,1.0,4.30494539304973,3.062636543376418,,,,,0.0,0.0,0.0,-0.7607853026902437,0.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,musk,1.0,3.742615103580978,2.2900080185058673,,,,,0.09119999999999999,0.09119999999999999,0.0848,0.009939638554513568,0.52,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,musk,1.0,3.742615103580978,2.2900080185058673,,,,,0.0,0.0,0.0,0.009939638554513568,0.52,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,satellite,1.0,4.055800517767976,2.6623061614854464,,,,,0.00988,0.00988,0.07232,-0.3614154817403213,0.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,satellite,1.0,4.055800517767976,2.6623061614854464,,,,,0.0,0.0,0.0,-0.3614154817403213,0.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,vowels,1.0,3.419639311810061,1.9545382348134441,,,,,0.0028399999999999996,0.0028399999999999996,0.0,0.34600817535035566,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,vowels,1.0,3.419639311810061,1.9545382348134441,,,,,0.0,0.0,0.0,0.34600817535035566,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wbc,1.0,2.6054917817847456,1.3848448572748442,,,,,0.06,0.06,0.0,0.9196169288459204,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wbc,1.0,2.6054917817847456,1.3848448572748442,,,,,0.0,0.0,0.0,0.9196169288459204,1.0,25,severity_1,mean empirical power
