summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,perfect_separation_rate
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3000000000000007,3.500000000000001,3.400000000000001,0.1,50,0.05,,100,4195.09,0.485,2546.7091234332624,3.4059793441383914,2.0,0.039999999999999994,1.0,1.0,0.07266666666666667,-1.0406707048106183,-1.0022524799205383,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3000000000000007,3.500000000000001,3.400000000000001,0.1,50,0.05,,100,4195.09,0.485,2546.7091234332624,3.4059793441383914,2.0,0.039999999999999994,0.77,0.59,0.081,-1.0406707048106183,-1.0022524799205383,0.0,0.9827083333333333,0.08
operational-envelope-v1,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.500000000000001,3.7,3.6000000000000005,0.1,50,0.05,,100,4612.01,0.33,3611.2779182761633,3.5576609123341267,2.0,0.039999999999999994,1.0,1.0,0.08,-1.1770914113029627,-1.15642799231805,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.500000000000001,3.7,3.6000000000000005,0.1,50,0.05,,100,4612.01,0.33,3611.2779182761633,3.5576609123341267,2.0,0.039999999999999994,0.84,0.625,0.07166666666666666,-1.1770914113029627,-1.15642799231805,0.0,0.9872916666666667,0.06
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,85.0,0.575,25.842959092614773,1.4123422401286352,5.0,0.04999999999999999,0.02,0.013999999999999999,0.002,0.8079511305957707,0.8860566476931633,0.96,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,85.0,0.575,25.842959092614773,1.4123422401286352,5.0,0.04999999999999999,0.01,0.004,0.003333333333333333,0.8079511305957707,0.8860566476931633,0.96,0.9840421052631579,0.36
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7000000000000002,1.6,0.1,100,0.05,,100,186.69,0.62,40.97159623174552,1.6124828841663401,5.0,0.04999999999999999,0.12,0.062,0.027214285714285715,0.5789341155850951,0.6873028732957265,0.95,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,1,1.5,1.7000000000000002,1.6,0.1,100,0.05,,100,186.69,0.62,40.97159623174552,1.6124828841663401,5.0,0.04999999999999999,0.05,0.032,0.018214285714285714,0.5789341155850951,0.6873028732957265,0.95,0.9841894736842106,0.35
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7000000000000002,1.9000000000000001,1.8000000000000003,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.19,0.09399999999999999,0.035,0.315934566324384,0.47408102992546797,0.82,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,2,1.7000000000000002,1.9000000000000001,1.8000000000000003,0.1,100,0.05,,100,332.74,0.715,65.35969697229496,1.815310030005919,5.0,0.04999999999999999,0.08,0.036000000000000004,0.021666666666666664,0.315934566324384,0.47408102992546797,0.82,0.9826315789473683,0.18
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9000000000000001,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.28,0.168,0.03016666666666667,0.1716026601074123,0.2967086218813386,0.77,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,3,1.9000000000000001,2.1,2.0,0.1,100,0.05,,100,420.6,0.68,104.3835036130769,2.0186318697783956,5.0,0.04999999999999999,0.13,0.046,0.0245,0.1716026601074123,0.2967086218813386,0.77,0.9837894736842105,0.16
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,4,2.1,2.3000000000000003,2.2,0.1,100,0.05,,100,959.87,0.765,162.09367007868047,2.209766055542063,5.0,0.04999999999999999,0.53,0.4,0.07412301587301587,-0.11718379952486306,0.051788372585362626,0.64,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,4,2.1,2.3000000000000003,2.2,0.1,100,0.05,,100,959.87,0.765,162.09367007868047,2.209766055542063,5.0,0.04999999999999999,0.26,0.148,0.040999999999999995,-0.11718379952486306,0.051788372585362626,0.64,0.9847578947368423,0.12
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,5,2.3000000000000003,2.5,2.4000000000000004,0.1,100,0.05,,100,719.15,0.64,253.88255683991727,2.4046328634243186,5.0,0.04999999999999999,0.82,0.7299999999999999,0.0811111111111111,-0.20056391142425326,-0.10037054511756292,0.26,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,5,2.3000000000000003,2.5,2.4000000000000004,0.1,100,0.05,,100,719.15,0.64,253.88255683991727,2.4046328634243186,5.0,0.04999999999999999,0.47,0.298,0.09848809523809525,-0.20056391142425326,-0.10037054511756292,0.26,0.9796000000000002,0.04
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,6,2.5,2.7,2.6,0.1,100,0.05,,100,1135.87,0.64,408.39821962925316,2.6110838401561156,5.0,0.04999999999999999,0.98,0.9319999999999999,0.0978015873015873,-0.43280129794168404,-0.3312218150169067,0.02,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,6,2.5,2.7,2.6,0.1,100,0.05,,100,1135.87,0.64,408.39821962925316,2.6110838401561156,5.0,0.04999999999999999,0.65,0.44,0.08265873015873015,-0.43280129794168404,-0.3312218150169067,0.02,0.9808421052631578,0.04
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,7,2.7,2.9000000000000004,2.8000000000000003,0.1,100,0.05,,100,1911.8,0.695,647.8589032719518,2.811480431483685,5.0,0.04999999999999999,0.98,0.97,0.0914047619047619,-0.6615190169450029,-0.54374400981473,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,7,2.7,2.9000000000000004,2.8000000000000003,0.1,100,0.05,,100,1911.8,0.695,647.8589032719518,2.811480431483685,5.0,0.04999999999999999,0.84,0.514,0.09023809523809524,-0.6615190169450029,-0.54374400981473,0.0,0.982294736842105,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,100,0.05,,100,2021.08,0.555,1023.4588048060467,3.0100703665828217,5.0,0.04999999999999999,1.0,0.9860000000000001,0.07475396825396825,-0.7544034760255378,-0.6994040818153374,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,1,100.0,2.0,1.8494850021680094,2.1505149978319906,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,100,0.05,,100,2021.08,0.555,1023.4588048060467,3.0100703665828217,5.0,0.04999999999999999,0.83,0.5199999999999999,0.06608333333333333,-0.7544034760255378,-0.6994040818153374,0.0,0.9793473684210526,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,9,3.1000000000000005,3.3000000000000007,3.2000000000000006,0.1,100,0.05,,100,2717.96,0.505,1613.5352571384665,3.2077784595529963,5.0,0.04999999999999999,1.0,1.0,0.08549603174603172,-0.9283089187370425,-0.8992731873176038,0.0,1.0,1.0
