summary_version,score_regime,alpha,m,pi1,power_target,status,required_log10_neff,required_neff,max_power,min_certified_no_rank_rate,count
required-ess-v1,perfect,0.1,100,0.01,0.8,attained,3.2088565337408337,1617.5456040709157,1.0,0.0,1200
required-ess-v1,perfect,0.1,100,0.02,0.8,attained,2.80721169409467,641.5222063207733,1.0,0.0,1200
required-ess-v1,perfect,0.1,100,0.05,0.8,attained,2.606215071726075,403.8453361266633,1.0,0.0,1200
required-ess-v1,perfect,0.1,100,0.1,0.8,attained,2.220462463419035,166.13550786948466,1.0,0.0,1200
required-ess-v1,perfect,0.1,100,0.2,0.8,attained,2.0119347528992075,102.78618636413779,1.0,0.0,1200
required-ess-v1,perfect,0.1,200,0.005,0.8,attained,3.4071223004587123,2553.420262988416,0.95,0.05,1200
required-ess-v1,perfect,0.1,200,0.01,0.8,attained,3.2077135287270484,1613.2940375286905,0.98,0.01,1200
required-ess-v1,perfect,0.1,200,0.02,0.8,attained,3.0043122490267598,1009.9787795907847,1.0,0.0,1200
required-ess-v1,perfect,0.1,200,0.05,0.8,attained,2.611524661353475,408.81296584104734,1.0,0.0,1200
required-ess-v1,perfect,0.1,200,0.1,0.8,attained,2.216084173597958,164.4690461085927,1.0,0.0,1200
required-ess-v1,perfect,0.1,200,0.2,0.8,attained,2.0111606041382464,102.6031287289183,1.0,0.0,1200
required-ess-v1,perfect,0.1,500,0.005,0.8,attained,3.558806331574601,3620.814965004538,0.815,0.11,1200
required-ess-v1,perfect,0.1,500,0.01,0.8,attained,3.2124430922470277,1630.9591825806967,0.972,0.0,1200
required-ess-v1,perfect,0.1,500,0.02,0.8,attained,2.803350593041713,635.8440227246905,1.0,0.0,1200
required-ess-v1,perfect,0.1,500,0.05,0.8,attained,2.605913384337626,403.5648979846987,1.0,0.0,1200
required-ess-v1,perfect,0.1,500,0.1,0.8,attained,2.4080768245387536,255.90385280864047,1.0,0.0,1200
required-ess-v1,perfect,0.1,500,0.2,0.8,attained,2.0103161599225596,102.40382055765174,1.0,0.0,1200
required-ess-v1,perfect,0.1,1000,0.005,0.8,attained,3.407963545874498,2558.3711314793163,0.872,0.09,1200
required-ess-v1,perfect,0.1,1000,0.01,0.8,attained,3.20533225464723,1604.4724142191333,0.9840000000000001,0.0,1200
required-ess-v1,perfect,0.1,1000,0.02,0.8,attained,3.006474862120977,1015.0206133420936,0.9969999999999999,0.0,1200
required-ess-v1,perfect,0.1,1000,0.05,0.8,attained,2.606219939031252,403.8498622019233,1.0,0.0,1200
required-ess-v1,perfect,0.1,1000,0.1,0.8,attained,2.203354040302201,159.71806509863873,1.0,0.0,1200
required-ess-v1,perfect,0.1,1000,0.2,0.8,attained,2.0084864745679596,101.97330015380838,1.0,0.0,1200
required-ess-v1,perfect,0.1,2000,0.005,0.8,attained,3.406188405569159,2547.935357806844,0.8680000000000001,0.08,1200
required-ess-v1,perfect,0.1,2000,0.01,0.8,attained,3.2072293512382717,1611.4964429701372,0.9914999999999999,0.0,1200
required-ess-v1,perfect,0.1,2000,0.02,0.8,attained,3.0000355398329135,1000.081836837925,0.99875,0.0,1200
required-ess-v1,perfect,0.1,2000,0.05,0.8,attained,2.609659061851812,407.06059385704134,0.9999000000000001,0.0,1200
required-ess-v1,perfect,0.1,2000,0.1,0.8,attained,2.210508166604754,162.370888290816,1.0,0.0,1200
required-ess-v1,perfect,0.1,2000,0.2,0.8,attained,2.0162224589570314,103.80600058389001,1.0,0.0,1200
