summary_version,world_id,rho,world_seed,discoveries,theorem_probability,observed_probability,observed_count,n_randomizations
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,3,0.07651603249923576,0.0762,1524,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,4,0.05524266688931819,0.054,1080,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,5,0.039140492511542176,0.03605,721,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,6,0.02645029875778349,0.02795,559,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,7,0.016471113451742434,0.0166,332,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,8,0.008959970235502454,0.00955,191,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,9,0.0038443477272130963,0.00395,79,20000
randomized-instability-frontier-v2,rho_0000_seed_017,0.0,17,10,0.000996270472039504,0.0009,18,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,0,0.49900000000000166,0.49965,9993,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,1,0.1657148289466804,0.16475,3295,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,2,0.10766397850894104,0.104,2080,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,3,0.07651603249923576,0.0779,1558,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,4,0.05524266688931819,0.05435,1087,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,5,0.039140492511542176,0.0413,826,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,6,0.02645029875778349,0.0269,538,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,7,0.016471113451742434,0.0155,310,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,8,0.008959970235502454,0.01055,211,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,9,0.0038443477272130963,0.0042,84,20000
randomized-instability-frontier-v2,rho_0000_seed_018,0.0,18,10,0.000996270472039504,0.0009,18,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,0,0.49900000000000166,0.49825,9965,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,1,0.1657148289466804,0.16895,3379,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,2,0.10766397850894104,0.10985,2197,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,3,0.07651603249923576,0.0785,1570,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,4,0.05524266688931819,0.05335,1067,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,5,0.039140492511542176,0.0369,738,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,6,0.02645029875778349,0.02455,491,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,7,0.016471113451742434,0.01615,323,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,8,0.008959970235502454,0.00805,161,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,9,0.0038443477272130963,0.00445,89,20000
randomized-instability-frontier-v2,rho_0000_seed_019,0.0,19,10,0.000996270472039504,0.001,20,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,0,0.49900000000000166,0.4971,9942,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,1,0.1657148289466804,0.16465,3293,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,2,0.10766397850894104,0.1075,2150,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,3,0.07651603249923576,0.07735,1547,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,4,0.05524266688931819,0.05605,1121,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,5,0.039140492511542176,0.04055,811,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,6,0.02645029875778349,0.02715,543,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,7,0.016471113451742434,0.016,320,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,8,0.008959970235502454,0.00895,179,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,9,0.0038443477272130963,0.00355,71,20000
randomized-instability-frontier-v2,rho_0000_seed_020,0.0,20,10,0.000996270472039504,0.00115,23,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,0,0.49900000000000166,0.4905,9810,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,1,0.1657148289466804,0.1692,3384,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,2,0.10766397850894104,0.1089,2178,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,3,0.07651603249923576,0.0768,1536,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,4,0.05524266688931819,0.0575,1150,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,5,0.039140492511542176,0.04055,811,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,6,0.02645029875778349,0.0269,538,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,7,0.016471113451742434,0.0154,308,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,8,0.008959970235502454,0.0094,188,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,9,0.0038443477272130963,0.00375,75,20000
randomized-instability-frontier-v2,rho_0000_seed_021,0.0,21,10,0.000996270472039504,0.0011,22,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,0,0.49900000000000166,0.50075,10015,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,1,0.1657148289466804,0.16855,3371,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,2,0.10766397850894104,0.1035,2070,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,3,0.07651603249923576,0.07525,1505,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,4,0.05524266688931819,0.05415,1083,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,5,0.039140492511542176,0.0402,804,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,6,0.02645029875778349,0.0277,554,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,7,0.016471113451742434,0.01675,335,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,8,0.008959970235502454,0.0088,176,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,9,0.0038443477272130963,0.0033,66,20000
randomized-instability-frontier-v2,rho_0000_seed_022,0.0,22,10,0.000996270472039504,0.00105,21,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,0,0.49900000000000166,0.5015,10030,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,1,0.1657148289466804,0.1641,3282,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,2,0.10766397850894104,0.10355,2071,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,3,0.07651603249923576,0.077,1540,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,4,0.05524266688931819,0.0566,1132,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,5,0.039140492511542176,0.03995,799,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,6,0.02645029875778349,0.0262,524,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,7,0.016471113451742434,0.01745,349,20000
randomized-instability-frontier-v2,rho_0000_seed_023,0.0,23,8,0.008959970235502454,0.00875,175,20000
